text_id	word_id	word	surprisal	surprisal_buggy
0	0	Are	7.248156055808067	7.2094593
0	1	tourists	10.41910577006638	10.443775
0	2	enticed	9.12043235823512	9.117603
0	3	by	0.6581821804866195	0.6740949
0	4	these	4.885355247184634	4.882335
0	5	attractions	5.193164110183716	4.885916
0	6	threatening	11.02454456826672	11.332764
0	7	their	2.7485835410188884	2.7509158
0	8	very	6.394067005196121	6.3941126
0	9	existence?	2.141622081398964	1.7164836
0	10	The	3.0046319578541443	3.4289556
0	11	two	7.4206632822752	7.359538
0	12	young	6.641632122918963	6.69361
0	13	sea-lions	19.166417248547077	19.079565
0	14	took	6.2990634076995775	6.395628
0	15	not	8.339196788147092	8.324199
0	16	the	2.485045689798426	2.5003917
0	17	slightest	1.3819882683455944	1.3800781
0	18	interest	2.553242400288582	2.4793487
0	19	in	0.10063368058763444	0.1758301
0	20	our	3.778332023997791	3.7778263
0	21	arrival.	7.140594333410263	7.0144577
0	22	They	1.2209793915972114	1.3388084
0	23	were	1.94066231418401	1.9372648
0	24	playing	5.481230605393648	5.4460497
0	25	on	2.896249197423458	2.942472
0	26	the	0.9018728596565779	0.9038705
0	27	jetty,	10.572338994476013	10.571051
0	28	rolling	7.207111648283899	7.1954646
0	29	over	4.191554199904203	4.1468606
0	30	and	2.4454767948482186	2.5016017
0	31	tumbling	6.975273821502924	6.9270396
0	32	into	2.221419931156561	2.270485
0	33	the	0.3559311445860658	0.3566209
0	34	water	2.1189041137695312	1.1843584
0	35	together,	7.500246649025939	8.433385
0	36	entirely	8.719033980625682	8.7197275
0	37	ignoring	3.8423881250200793	3.8419852
0	38	the	1.5742537683108822	1.5750109
0	39	human	5.5471408404409885	5.530797
0	40	beings	1.8359793052077293	1.8151493
0	41	edging	10.022177585400641	10.055763
0	42	awkwardly	7.584647503681481	7.5768313
0	43	round	8.134165309369564	8.10351
0	44	them.	1.9686246514320374	1.6051912
0	45	Our	4.638880044221878	5.0437994
0	46	party	6.037767581641674	5.9568825
0	47	then	5.162541664438322	5.241684
0	48	had	3.812354816007428	3.8143287
0	49	to	0.763884048035834	0.76398194
0	50	step	5.150261994916946	5.149395
0	51	gingerly	7.069677884079283	7.0590353
0	52	over	2.878956810105592	2.8879166
0	53	hundreds	6.513827652204782	6.513174
0	54	of	0.02135340077802539	0.024323612
0	55	marine	6.067036861088127	6.063038
0	56	iguanas	5.5433558251243085	5.0771117
0	57	basking	9.921732991933823	10.377219
0	58	on	2.303126393177081	2.3183198
0	59	the	0.6680360190221108	0.66845983
0	60	rocks,	5.4897226601606235	5.4885697
0	61	strange	10.031828209757805	9.990068
0	62	creatures	2.264966905117035	2.2907994
0	63	with	3.474540857016109	3.4908233
0	64	richly	10.320439908653498	10.278973
0	65	coloured	1.5423691719770432	1.5651673
0	66	velvet	8.523856226354837	8.501355
0	67	coats,	3.317201316705905	3.357575
0	68	looking	5.702232676791027	5.7005816
0	69	like	2.7419229061342776	2.7431731
0	70	something	4.503567811101675	4.504636
0	71	between	4.909557500388473	4.9096236
0	72	a	1.4402939244173467	1.4404275
0	73	giant	4.089856714941561	4.082147
0	74	lizard	4.461397090926766	4.4581323
0	75	and	0.023226935998536646	0.033591595
0	76	a	0.3561802550102584	0.35689783
0	77	miniature	4.460084868129343	4.455093
0	78	dinosaur,	7.2098905050661415	7.214064
0	79	and	2.2301090070977807	2.2231722
0	80	found	8.791316632181406	8.771834
0	81	nowhere	8.15699519123882	8.170215
0	82	else	2.462293580174446	2.380941
0	83	on	3.2176678840769455	3.3130045
0	84	earth	2.0558699667453766	1.7542962
0	85	except	6.2481568697839975	6.5453606
0	86	here	4.221505284309387	3.2907991
0	87	in	1.1531389331212267	2.088225
0	88	the	1.6372505693580024	1.6374332
0	89	Galapagos.	7.777775933100202	7.1467133
0	90	A	4.429682329297066	5.0419726
0	91	little	4.243308384204283	4.259618
0	92	further	2.689368348568678	2.6701648
0	93	on	2.069076359272003	1.5220538
0	94	were	4.966273753438145	5.5334663
0	95	the	1.5834648781456053	1.5844305
0	96	blue-footed	10.162991220131516	10.15984
0	97	boobies,	6.7451345711015165	6.7479944
0	98	birds	7.082376942038536	7.024497
0	99	with	2.252145062899217	2.3103213
0	100	brilliant	6.01074755191803	5.9792995
0	101	china-blue	18.51266966201365	18.536545
0	102	feet,	6.829756407765672	6.836806
0	103	again	8.058343049138784	8.021396
0	104	unique.	15.211152493953705	15.011626
0	105	And	3.2035861499607563	3.3986745
0	106	then	2.1723878979682922	1.9318768
0	107	there	1.5473373662680387	1.8006037
0	108	were	0.9766231174580753	1.0030463
0	109	the	0.2849416333483532	0.2872578
0	110	flightless	9.182384640909731	9.16806
0	111	cormorants,	6.2997658147942275	6.314226
0	112	birds	4.483109287917614	4.4732428
0	113	with	1.3313325725030154	1.3414332
0	114	vestigial	9.170805482659489	9.16776
0	115	wings	1.3993008732795715	0.677733
0	116	who,	6.9829926962265745	7.7081494
0	117	over	6.2430433221161366	6.221403
0	118	the	1.0708233977784403	1.0929897
0	119	generations,	5.158401096006855	5.155559
0	120	have	0.6697644521482289	0.670301
0	121	lost	3.7514020067173988	3.7523637
0	122	the	2.2500690020387992	2.2513618
0	123	ability	0.4370082817040384	0.43181598
0	124	to	0.031817229551961645	0.037024125
0	125	fly	1.4441002905368805	0.49609494
0	126	because	3.3640125449746847	4.282336
0	127	the	3.2847683768486604	3.3136482
0	128	nutrients	9.147464152891189	9.141423
0	129	at	6.186143396422267	6.18046
0	130	the	1.2370482554542832	1.2495351
0	131	shoreline	7.694754600524902	7.6812744
0	132	are	2.1318395189009607	2.1445847
0	133	so	2.179176319623366	2.1783957
0	134	rich	4.317220568656921	3.740882
0	135	they	2.0103021152317524	2.545014
0	136	have	1.7283586208941415	1.770266
0	137	no	2.998744846554473	2.9993079
0	138	need	3.107084460556507	3.0229106
